,Id,Nome,EsportePai
517,517,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting
518,518,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Shooting
519,519,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Shooting
520,520,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting
521,521,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Shooting
522,522,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Shooting
523,523,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Shooting
524,524,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Shooting
525,525,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Shooting
526,526,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Shooting
527,527,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Shooting
528,528,Shooting Men's Trap,Shooting
529,529,"Shooting Men's Trap, Double Shot, 14 metres",Shooting
530,530,"Shooting Men's Trap, Single Shot, 16 metres",Shooting
531,531,"Shooting Men's Trap, Team",Shooting
532,532,Shooting Men's Unknown Event,Shooting
533,533,"Shooting Mixed Free Pistol, 50 metres",Shooting
534,534,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Shooting
535,535,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Shooting
536,536,"Shooting Mixed Running Target, 50 metres",Shooting
537,537,Shooting Mixed Skeet,Shooting
538,538,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Shooting
539,539,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Shooting
540,540,Shooting Mixed Trap,Shooting
541,541,"Shooting Women's Air Pistol, 10 metres",Shooting
542,542,"Shooting Women's Air Rifle, 10 metres",Shooting
543,543,Shooting Women's Double Trap,Shooting
544,544,Shooting Women's Skeet,Shooting
545,545,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting
546,546,"Shooting Women's Sporting Pistol, 25 metres",Shooting
547,547,Shooting Women's Trap,Shooting
548,548,Softball,-
549,549,Softball Women's Softball,Softball
550,550,Swimming,-
551,551,"Swimming Men's 1,000 metres Freestyle",Swimming
552,552,"Swimming Men's 1,200 metres Freestyle",Swimming
553,553,"Swimming Men's 1,500 metres Freestyle",Swimming
